pays;tache;ordre;libelle
France;Responsable Montures / SAV;7;Équipe formée ( nouveautés, argumentaires, ADN et storytelling, simulations ventes...)
France;Responsable Montures / SAV;8;Taux de Lukkas ≥ 20%
France;Responsable Montures / SAV;9;Gestion du SAV journalier (pièces commandées, retro, relances, suivi client, respect du delai...)
France;Responsable Montures / SAV;10;Responsable Monture ENGAGÉ ( réunion annuelle, passage itinérant, formateur, prise d'initiative...)
France;Responsable Optométrie;1;S'assurer que les RDV N+1 et Call center soient appelés (entre le mail et le SMS)
France;Responsable Optométrie;2;Temps moyen pour un controle de la vue ≤ 15 minutes (pour tous)
France;Responsable Optométrie;3;Proposer des examens de vue à 100% des clients SAV, ajustage et des accompagnants
France;Responsable Optométrie;4;Définir un rendez vous N+1 systématique (former l'équipe au discours)
France;Responsable Optométrie;5;Former l'équipe aux examens de vue
France;Responsable Optométrie;6;Optimiser le planning OPTO du magasin toute l'année
France;Responsable Optométrie;7;Etre le référent pour les examens de vue quand cas complexe
France;Responsable Optométrie;8;S'assurer que l'EDV est bien valorisé de 10€ pour les 100% santé
France;Responsable Optométrie;9;Kaizen salle optométrie à jour
France;Responsable Optométrie;10;S'assurer que Lyleoo soit utilisé par 100% des collaborateurs
France;Responsable Tiers Payant / FSE;1;Veiller à ce que tous les dossiers soient complets. Tous les documents nécessaires soient bien signés et scannés
France;Responsable Tiers Payant / FSE;2;Mise en place et suivi de l'organisation des dossiers TP (dans le respect du Kaizen)
France;Responsable Tiers Payant / FSE;3;Former son équipe sur les spécificités de chaque réseau (Optique et Audio)
France;Responsable Tiers Payant / FSE;4;Remonter les erreurs de préconisation de Roki au responsable verres du magasin
France;Responsable Tiers Payant / FSE;5;S'assurer que les dossiers soient facturés au bon moment
France;Responsable Tiers Payant / FSE;6;Télétransmettre les FSE tous les soirs
France;Responsable Tiers Payant / FSE;7;Relancer les restes dûs client une fois par mois
France;Responsable Tiers Payant / FSE;8;Responsable Tier Payant engagé (reunion TP , relation avec son référent...)
France;Responsable Tiers Payant / FSE;9;Traiter et répondre au tableau des anomalies dans le respect des délais
France;Responsable Tiers Payant / FSE;10;Remonter à son manager les problèmes récurrents dans l'équipe (suivi d'action et formation)
France;Responsable Verres;1;Lancement de journée deux fois par mois dont news verres débriefée
France;Responsable Verres;2;Taux de transition ≥ 20%
France;Responsable Verres;3;% recommande verres < 3%
France;Responsable Verres;4;Analyse et Controle des statistique verres
France;Responsable Verres;5;Controle des Ventes Verres : Respect des préconisations Roki
France;Responsable Verres;6;5 montages Atelier controlés chaque mois
France;Responsable Verres;7;Equipe formée ( nouveaux verres, argumentaire, Prise de mesures tablettes ....)
France;Responsable Verres;8;Responsable Verre Engagé ( reunion annuel , passage itinerant ...)
France;Responsable Verres;9;Retours Verres faits
France;Responsable Verres;10;Remonter au pôle produit les erreurs dans Roki
